EntrezGeneID,logFC,logCPM,PValue,FDR
70466,2.3612170935354255,3.327685768592605,3.1607301961602e-06,0.00039961744016092643
20448,1.7150364859301066,3.589633900808106,3.3094439133238457e-06,0.0004150988222711909
108673,1.4116448235638372,4.8577312133441914,3.340666464118882e-06,0.0004157156913301954
404710,3.0727754139188623,3.9436802162629037,3.4204392497182313e-06,0.00042231735861364785
67619,1.254948245175683,5.033062754196173,3.594961168554514e-06,0.00044042454502198097
14087,2.65489896050999,3.4723699900144487,3.6592869249698475e-06,0.0004414710169223771
16551,2.2556499279201128,3.7094680168864933,3.65937124885038e-06,0.0004414710169223771
12428,2.160680892084125,3.757560491569077,3.737323246811562e-06,0.0004474595196409843
19281,1.953852421228874,2.1536723388388865,3.842397297260258e-06,0.0004565808036533919
240754,-2.5839481957133397,1.1953201122912582,3.957810133711855e-06,0.0004588514906140182
65112,2.244268494847755,8.021575189304906,3.969970527218769e-06,0.0004588514906140182
75767,1.336420915986286,6.426355247935112,3.9762322626713436e-06,0.0004588514906140182
11910,-1.875155143671719,10.335209793437397,3.995665578202594e-06,0.0004588514906140182
208628,2.3613621737834722,3.8379283197027654,4.00667588615126e-06,0.0004588514906140182
100217456,2.6007757453775207,0.675392021464418,4.049940919098585e-06,0.00046046954162182765
13040,3.930454708958333,-0.1549276329218577,4.104114024413814e-06,0.00046329584315597084
69288,-1.836408235956705,2.7826317993325347,4.191995707839295e-06,0.00046986028487015763
56636,5.4104218109455635,0.5915601528591999,4.299852570092504e-06,0.0004785554226601545
110196,-1.7945611151592447,4.9089030477907,4.440107889850512e-06,0.0004871607143004945
16835,-1.243599368001145,7.7766432088710475,4.4531549837858635e-06,0.0004871607143004945
16819,1.7886763742219256,10.929080361395222,4.4696471509473366e-06,0.0004871607143004945
74035,1.4585669977895557,5.344899665760103,4.512659096661583e-06,0.0004884798929016416
16665,-1.9560367515429526,8.645889236846905,4.7073790070057384e-06,0.0005060912777327802
24088,1.6566833079529737,6.888453761156039,4.769693658329145e-06,0.0005069371686600828
20135,1.8058841193665738,5.19708589401023,4.779400033558108e-06,0.0005069371686600828
74754,-1.500568477363597,5.726549892522353,4.869187445351412e-06,0.0005130175892422247
12737,3.275830771966815,6.118587898204088,4.97200836805964e-06,0.000520381591051752
83554,1.6760532206287173,4.402253103733795,5.027092384129122e-06,0.0005226853160445831
67223,1.5178204591805682,4.667846762649768,5.150766224480698e-06,0.0005320438523640061
18973,2.0845835682496383,4.4948459413654325,5.445330127905922e-06,0.000558818164554709
72027,2.215556659641827,4.271014036812382,5.633652760579914e-06,0.0005716485402865854
76982,-2.496371357324157,0.03751923083214629,5.6432252700090345e-06,0.0005716485402865854
242122,-2.664051449179852,4.8782745006002886,5.678867427549603e-06,0.0005716485402865854
