EntrezGeneID,logFC,logCPM,PValue,F,FDR
194126,-1.7114648838442577,3.5664050787386867,1.3106210643653118e-08,170.6975130640979,7.397519750439067e-06
217166,2.301224286284071,6.444447114090109,1.3675881989425682e-08,169.33454194306358,7.45288410209943e-06
73847,1.4745305771463915,7.062301338942523,1.4290756524116493e-08,168.0550462923468,7.5226537273159445e-06
21827,-3.4305656023160505,3.440791982107486,1.4849714480479986e-08,167.00114441710085,7.5226537273159445e-06
16763,2.0971723656260512,4.938948337706076,1.523189820767592e-08,166.22338791868563,7.5226537273159445e-06
101612,1.991075577482873,4.901931457471454,2.0072178290439852e-08,158.47415432983644,9.347841039770668e-06
20319,3.405501126733645,3.267769947329315,2.0110516030891088e-08,158.44026783157963,9.347841039770668e-06
60599,-1.2575143758552758,6.553424838698206,2.2045151965229998e-08,155.91866037813864,9.954330904528425e-06
12654,2.3376959051697033,6.934417065241433,2.3265725113162917e-08,154.47345440133768,1.0135101001286923e-05
12977,2.827813242471139,8.168284866779596,2.3728090170059236e-08,153.94199028218227,1.0135101001286923e-05
170770,2.4961009458222745,4.354257525262743,2.4385712845668028e-08,153.2179600143031,1.014188962665625e-05
14299,2.1916092668547815,3.6936222643583583,2.8279137348902478e-08,149.85527545468122,1.1459576581078328e-05
79362,1.7824195521962964,6.756729809569425,3.296528590985678e-08,145.39016523213587,1.3024584462984413e-05
108897,1.7322713760541943,3.1908740254890255,3.3884162404717424e-08,140.1556501263783,1.3061104942540346e-05
66234,-2.0393559969158366,4.947804554603551,3.6773442396226954e-08,142.64573681859983,1.3656366284458103e-05
12739,2.331737948303074,6.894881440733305,3.7156653393552165e-08,142.39434246709058,1.3656366284458103e-05
20564,-1.3285311919106282,6.058143470805703,3.8033119511465515e-08,141.98240749782553,1.3660805017254568e-05
26365,3.4908618626032695,8.242448091777883,4.078839203682089e-08,140.09300261788093,1.4159764401145704e-05
107094,1.7152229639962673,6.417254982451451,4.121419656116821e-08,139.83345302012782,1.4159764401145704e-05
14287,1.4208860478995506,5.210729172662596,4.414669679598278e-08,138.16362913731376,1.4668441307569075e-05
12023,-1.9798234475654388,4.5405543251720895,4.455107458639051e-08,137.94953281807216,1.4668441307569075e-05
59028,1.9080421684694338,4.652078713953726,4.6275943385751194e-08,137.0311015183269,1.4925408352416568e-05
18019,-1.994361952714457,7.233503606848078,4.8389828559708026e-08,135.96961492563946,1.5295057011152515e-05
14115,2.2624274784204186,6.437575394887093,5.3029882150321264e-08,133.8050539537556,1.6433024656934846e-05
232016,-2.5763843945387293,6.398403015851402,5.6347876246824954e-08,132.39565459122335,1.71254199270158e-05
545370,-1.5645763705217925,5.917564818183738,5.97889242166002e-08,131.93317612536796,1.7149446458348015e-05
68108,1.5454777009381464,4.732324502948552,5.988796817757665e-08,130.97556573274133,1.7149446458348015e-05
235542,-1.1052618072646276,6.66729712888129,6.027902812694345e-08,130.82437062063775,1.7149446458348015e-05
72515,1.9231385115598258,6.596448464187615,6.076746403869203e-08,130.63910092902555,1.7149446458348015e-05
67619,1.254948245175683,5.033062754196173,6.751628149725582e-08,128.24383264921167,1.871977741723914e-05
