,gene,logFC,SE,z,PValue,FDR
4823,XLOC_017345,0.39310325827113646,0.074804577727862,5.255069545359116,1.4796854682210452e-07,2.1739352182611084e-05
5494,XLOC_010783,0.2725100968984655,0.051866079754082604,5.254110165845242,1.4874183337818126e-07,2.1739352182611084e-05
2673,XLOC_008839,0.28694901563954395,0.05467807424111109,5.247972237906544,1.5378246442905706e-07,2.216389768583785e-05
957,XLOC_003049,0.3087528292823403,0.05897234916777118,5.235552485860204,1.6449207096092897e-07,2.3382660552898083e-05
8072,XLOC_037176,-1.1237929512661773,0.21558495973053102,-5.212761375704756,1.8605015548199728e-07,2.608976301941467e-05
2935,XLOC_009690,0.6488629666952838,0.1248249007425838,5.198185320678771,2.0124344639594823e-07,2.7844043243343398e-05
2164,XLOC_007028,0.23835239300482394,0.04593080846941056,5.1893794371933195,2.1099606189814885e-07,2.880929124101435e-05
2781,XLOC_009209,0.43913689934792277,0.08506851809467583,5.162155274166072,2.441226591663993e-07,3.289949135285358e-05
4253,XLOC_014521,0.43840181501075653,0.08510655897968344,5.151210673614608,2.588102579249957e-07,3.443171854471385e-05
6301,XLOC_030408,0.25977680108033985,0.050775302590925116,5.116203898837401,3.117460551911397e-07,4.060658879091036e-05
10311,XLOC_045610,0.5830395184393882,0.11397695709306273,5.115415723577649,3.1305069897589176e-07,4.060658879091036e-05
10169,XLOC_044994,0.16192820042822145,0.03190521553402719,5.075289344324398,3.8690678723638366e-07,4.956705840928337e-05
4348,XLOC_014942,0.8684467182967784,0.17130681537716286,5.069539798429714,3.987787476484145e-07,5.046496419936095e-05
7073,XLOC_033389,0.3538562139088691,0.06984160710599539,5.066553141766023,4.050837002866742e-07,5.064522358885323e-05
63,XLOC_000137,0.6822200265078466,0.13489355156644683,5.057469527531817,4.2485629041211154e-07,5.2484925304839065e-05
3680,XLOC_012422,0.9147928176762855,0.18103199551454882,5.0532107049704775,4.344441593383824e-07,5.3037965193581113e-05
9101,XLOC_041159,0.6603537005738499,0.13086863141623503,5.0459280686871235,4.5132519378236784e-07,5.44581573939492e-05
6500,XLOC_031191,0.46304147837269716,0.0920929679012792,5.0279786711734955,4.956769923854104e-07,5.9122300574521884e-05
725,XLOC_002349,0.40949484391822927,0.08154485447487966,5.02171285429636,5.121270728795319e-07,6.039025721898752e-05
